table_id,table_name,observed_score,quantile_pct,p_value
1,Standard,13477.0,0.69,0.006999300069993001
2,Vertebrate Mitochondrial,14612.0,1.47,0.014798520147985201
3,Yeast Mitochondrial,13448.0,7.27,0.07279272072792721
4,Mold/Protozoan/Coelenterate Mito,13178.0,0.59,0.0059994000599940004
5,Invertebrate Mitochondrial,13306.0,2.32,0.023297670232976703
6,Ciliate Nuclear,12279.0,0.34,0.0034996500349965005
9,Echinoderm/Flatworm Mito,13210.0,1.8,0.018098190180981903
10,Euplotid Nuclear,13369.0,0.56,0.005699430056994301
11,Bacterial/Archaeal/Plant Plastid,13477.0,0.79,0.007999200079992
12,Alternative Yeast Nuclear,14016.0,1.16,0.011698830116988301
13,Ascidian Mitochondrial,13332.0,1.88,0.0188981101889811
14,Alternative Flatworm Mito,12752.0,2.05,0.020597940205979402
15,Blepharisma Macronuclear,12943.0,0.33,0.0033996600339966003
16,Chlorophycean Mito,13110.0,1.96,0.019698030196980302
21,Trematode Mitochondrial,13197.0,1.43,0.0143985601439856
22,Scenedesmus obliquus Mito,13652.0,0.8,0.008099190080991902
23,Thraustochytrium Mito,14208.0,0.7,0.007099290070992901
24,Rhabdopleuridae Mito,13387.0,1.06,0.010698930106989302
25,Candidate Division SR1 / Gracilibacteria,13223.0,0.64,0.0064993500649935
26,Pachysolen tannophilus Nuclear,13773.0,1.08,0.0108989101089891
27,Karyorelict Nuclear,11680.0,0.35,0.0035996400359964
28,Condylostoma Nuclear,11680.0,0.27,0.0027997200279972004
29,Mesodinium Nuclear,12524.0,2.12,0.0212978702129787
30,Peritrich Nuclear,12371.0,0.15,0.0015998400159984002
31,Blastocrithidia Nuclear,11794.0,0.18,0.0018998100189981002
32,Balanophoraceae Plastid,13113.0,1.56,0.0156984301569843
33,Cephalodiscidae Mito,12929.0,1.8,0.018098190180981903
