pairing,reassigned_aa,fisher_OR,fisher_p,aa_rank,n_aas,exact_p,share_diff
scerevisiae_mito vs ylipolytica_mito,Thr,1.81,0.5535,1,20,0.15,0.037
sobliquus_mito vs creinhardtii_mito,Leu,1.5,0.6207,5,20,0.3,0.0284
ptannophilus_nuclear vs lthermotolerans_nuclear,Ala,1.286,0.3449,1,20,0.05,0.0142
calbicans_nuclear vs lthermotolerans_nuclear,Ser,1.244,0.3554,1,20,0.05,0.0142
tthermophila_nuclear vs imultifiliis_nuclear,Gln,3.775,0.0084,1,20,0.05,0.0546
ptetraurelia_nuclear vs imultifiliis_nuclear,Gln,4.203,0.0102,1,20,0.05,0.0624
tthermophila_nuclear vs scoeruleus_nuclear,Gln,1.91,0.0323,1,20,0.05,0.0346
ptetraurelia_nuclear vs scoeruleus_nuclear,Gln,2.126,0.0396,1,20,0.05,0.0425
oxytricha_nuclear vs scoeruleus_nuclear,Gln,2.271,0.0751,1,20,0.05,0.0477
eoctocarinatus_nuclear vs scoeruleus_nuclear,Cys,1.704,0.2718,3,20,0.15,0.0176
bjaponicum_nuclear vs scoeruleus_nuclear,Trp,1.977,0.2097,2,20,0.1,0.021
