"encoding_index","encoding_label","rate_observed","rate_possible","depletion_fold","hypergeom_p","observed_breaks","possible_breaks","is_default","signif","p_label"
0,"C=00U=01A=10G=11",0.214285714285714,0.72734375,3.39427083333333,1.58396285515441e-08,6,931,TRUE,TRUE,"2e-08"
1,"C=00U=01A=11G=10",0.285714285714286,0.69921875,2.447265625,6.07539742024303e-06,8,895,FALSE,TRUE,"6e-06"
2,"C=00U=10A=01G=11",0.214285714285714,0.72734375,3.39427083333333,1.58396285515441e-08,6,931,FALSE,TRUE,"2e-08"
3,"C=00U=10A=11G=01",0.285714285714286,0.69921875,2.447265625,6.07539742024303e-06,8,895,FALSE,TRUE,"6e-06"
4,"C=00U=11A=01G=10",0.357142857142857,0.36015625,1.0084375,0.572392032956227,10,461,FALSE,FALSE,"0.57"
5,"C=00U=11A=10G=01",0.357142857142857,0.36015625,1.0084375,0.572392032956227,10,461,FALSE,FALSE,"0.57"
6,"C=01U=00A=10G=11",0.285714285714286,0.69921875,2.447265625,6.07539742024303e-06,8,895,FALSE,TRUE,"6e-06"
7,"C=01U=00A=11G=10",0.214285714285714,0.72734375,3.39427083333333,1.58396285515441e-08,6,931,FALSE,TRUE,"2e-08"
8,"C=01U=10A=00G=11",0.357142857142857,0.36015625,1.0084375,0.572392032956227,10,461,FALSE,FALSE,"0.57"
9,"C=01U=10A=11G=00",0.357142857142857,0.36015625,1.0084375,0.572392032956227,10,461,FALSE,FALSE,"0.57"
10,"C=01U=11A=00G=10",0.214285714285714,0.72734375,3.39427083333333,1.58396285515441e-08,6,931,FALSE,TRUE,"2e-08"
11,"C=01U=11A=10G=00",0.285714285714286,0.69921875,2.447265625,6.07539742024303e-06,8,895,FALSE,TRUE,"6e-06"
12,"C=10U=00A=01G=11",0.285714285714286,0.69921875,2.447265625,6.07539742024303e-06,8,895,FALSE,TRUE,"6e-06"
13,"C=10U=00A=11G=01",0.214285714285714,0.72734375,3.39427083333333,1.58396285515441e-08,6,931,FALSE,TRUE,"2e-08"
14,"C=10U=01A=00G=11",0.357142857142857,0.36015625,1.0084375,0.572392032956227,10,461,FALSE,FALSE,"0.57"
15,"C=10U=01A=11G=00",0.357142857142857,0.36015625,1.0084375,0.572392032956227,10,461,FALSE,FALSE,"0.57"
16,"C=10U=11A=00G=01",0.214285714285714,0.72734375,3.39427083333333,1.58396285515441e-08,6,931,FALSE,TRUE,"2e-08"
17,"C=10U=11A=01G=00",0.285714285714286,0.69921875,2.447265625,6.07539742024303e-06,8,895,FALSE,TRUE,"6e-06"
18,"C=11U=00A=01G=10",0.357142857142857,0.36015625,1.0084375,0.572392032956227,10,461,FALSE,FALSE,"0.57"
19,"C=11U=00A=10G=01",0.357142857142857,0.36015625,1.0084375,0.572392032956227,10,461,FALSE,FALSE,"0.57"
20,"C=11U=01A=00G=10",0.285714285714286,0.69921875,2.447265625,6.07539742024303e-06,8,895,FALSE,TRUE,"6e-06"
21,"C=11U=01A=10G=00",0.214285714285714,0.72734375,3.39427083333333,1.58396285515441e-08,6,931,FALSE,TRUE,"2e-08"
22,"C=11U=10A=00G=01",0.285714285714286,0.69921875,2.447265625,6.07539742024303e-06,8,895,FALSE,TRUE,"6e-06"
23,"C=11U=10A=01G=00",0.214285714285714,0.72734375,3.39427083333333,1.58396285515441e-08,6,931,FALSE,TRUE,"2e-08"
