variant_key,variant_short,variant_organism,variant_compartment,variant_table_id,variant_source_class,variant_accession,variant_source_full,variant_source_display,variant_verified,control_key,control_short,control_organism,control_compartment,compartment_marker,control_table_id,control_source_class,control_accession,control_source_full,control_source_display,control_verified,reassigned_aa,reassignment,reassignment_short,q6_creates_disconnection,q6_break_marker,h34_impact,focal_variant,denom_variant,focal_control,denom_control,odds_ratio,p_greater
scerevisiae_mito,scerevisiae,Saccharomyces cerevisiae,mitochondrial,3,annotation,,Bonitz et al. 1980 PNAS 77:3167-3170 (PMC349575); Su et al. 2011 PMC3113583; RefSeq NC_001224.1 (S. cerevisiae S288C mitochondrion),Bonitz et al. 1980 PNAS 77:3167-3170 (PMC349575); Su et al. 2011 PMC3113583; RefSeq NC_001224.1 (S. cerevisiae S288C mitochondrion),no,ylipolytica_mito,ylipolytica,Yarrowia lipolytica,mitochondrial,M,4,literature,,"Kerscher et al. 2001 Comp Funct Genom 2:80-90 (DOI: 10.1002/cfg.72, PMC2447202); EMBL AJ307410 (Y. lipolytica strain W29 mitochondrion)",Kerscher et al. 2001,no,Thr,CUA: Leu→Thr; CUC: Leu→Thr; CUG: Leu→Thr; CUU: Leu→Thr,CUA: Leu→Thr; CUC: Leu→Thr; C…,True,Y,creates,2,24,1,27,2.3636363636363638,0.45503001200480186
sobliquus_mito,sobliquus,Scenedesmus obliquus,mitochondrial,22,literature,,NCBI Scenedesmus obliquus mitochondrial genome; Knaap et al. 2002,NCBI Scenedesmus obliquus mitochondrial genome; Knaap et al. 2002,no,creinhardtii_mito,creinhardtii,Chlamydomonas reinhardtii,mitochondrial,M,1,annotation,,Chlamydomonas reinhardtii mitochondrial genome annotation,Chlamydomonas reinhardtii mitochondrial genome annotation,no,Leu,UAG: Stop→Leu,UAG: Stop→Leu,True,Y,no-effect,2,22,1,16,1.5,0.6206733048838312
ptannophilus_nuclear,ptannophilus,Pachysolen tannophilus,nuclear,26,literature,,"Muhlhausen & Kollmar 2014, Genome Biology and Evolution","Muhlhausen & Kollmar 2014, Genome Biology and Evolution",no,lthermotolerans_nuclear,lthermotolerans,Lachancea thermotolerans,nuclear,N,1,GtRNAdb,,GtRNAdb for Lachancea thermotolerans CBS 6340,GtRNAdb for Lachancea thermotolerans CBS 6340,no,Ala,CUG: Leu→Ala,CUG: Leu→Ala,True,Y,creates,14,207,11,206,1.2859161563824777,0.3449437514865384
calbicans_nuclear,calbicans,Candida albicans,nuclear,12,annotation,,Candida Genome Database; Santos et al. 1996-2011 reviews,Candida Genome Database; Santos et al. 1996-2011 reviews,no,lthermotolerans_nuclear,lthermotolerans,Lachancea thermotolerans,nuclear,N,1,GtRNAdb,,GtRNAdb for Lachancea thermotolerans CBS 6340,GtRNAdb for Lachancea thermotolerans CBS 6340,no,Ser,CUG: Leu→Ser,CUG: Leu→Ser,True,Y,extends,16,207,13,206,1.243656866693516,0.35544017723799487
tthermophila_nuclear,tthermophila,Tetrahymena thermophila,nuclear,6,tRNAscan-SE 2.0.12,GCF_000189635.1,tRNAscan-SE 2.0.12 on GCF_000189635.1 (April 2026); Eisen et al. 2006 PLoS Biol 4:e286 (PMC1557398); Hanyu et al. 1986 EMBO J 5:1307-1311,GCF_000189635.1,yes,imultifiliis_nuclear,imultifiliis,Ichthyophthirius multifiliis,nuclear,N,1,tRNAscan-SE 2.0.12,GCF_000220395.1,tRNAscan-SE 2.0.12 on GCF_000220395.1 (April 2026),GCF_000220395.1,yes,Gln,UAA: Stop→Gln; UAG: Stop→Gln,UAA: Stop→Gln; UAG: Stop→Gln,False,n,no-effect,54,712,3,141,3.7750759878419453,0.008426349137653201
ptetraurelia_nuclear,ptetraurelia,Paramecium tetraurelia,nuclear,6,tRNAscan-SE 2.0.12,GCF_000165425.1,tRNAscan-SE 2.0.12 on GCF_000165425.1 (April 2026); Aury et al. 2006 Nature 444:171-178,GCF_000165425.1,yes,imultifiliis_nuclear,imultifiliis,Ichthyophthirius multifiliis,nuclear,N,1,tRNAscan-SE 2.0.12,GCF_000220395.1,tRNAscan-SE 2.0.12 on GCF_000220395.1 (April 2026),GCF_000220395.1,yes,Gln,UAA: Stop→Gln; UAG: Stop→Gln,UAA: Stop→Gln; UAG: Stop→Gln,False,n,no-effect,18,215,3,141,4.2030456852791875,0.010197632403706027
tthermophila_nuclear,tthermophila,Tetrahymena thermophila,nuclear,6,tRNAscan-SE 2.0.12,GCF_000189635.1,tRNAscan-SE 2.0.12 on GCF_000189635.1 (April 2026); Eisen et al. 2006 PLoS Biol 4:e286 (PMC1557398); Hanyu et al. 1986 EMBO J 5:1307-1311,GCF_000189635.1,yes,scoeruleus_nuclear,scoeruleus,Stentor coeruleus,nuclear,N,1,tRNAscan-SE 2.0.12,GCA_001970955.1,tRNAscan-SE 2.0.12 on GCA_001970955.1 (April 2026),GCA_001970955.1,yes,Gln,UAA: Stop→Gln; UAG: Stop→Gln,UAA: Stop→Gln; UAG: Stop→Gln,False,n,no-effect,54,712,11,267,1.909919867366676,0.03227019062953774
ptetraurelia_nuclear,ptetraurelia,Paramecium tetraurelia,nuclear,6,tRNAscan-SE 2.0.12,GCF_000165425.1,tRNAscan-SE 2.0.12 on GCF_000165425.1 (April 2026); Aury et al. 2006 Nature 444:171-178,GCF_000165425.1,yes,scoeruleus_nuclear,scoeruleus,Stentor coeruleus,nuclear,N,1,tRNAscan-SE 2.0.12,GCA_001970955.1,tRNAscan-SE 2.0.12 on GCA_001970955.1 (April 2026),GCA_001970955.1,yes,Gln,UAA: Stop→Gln; UAG: Stop→Gln,UAA: Stop→Gln; UAG: Stop→Gln,False,n,no-effect,18,215,11,267,2.1264420858329487,0.039602389780460684
oxytricha_nuclear,oxytricha,Oxytricha trifallax,nuclear,6,tRNAscan-SE 2.0.12,GCA_000295675.1,tRNAscan-SE 2.0.12 on GCA_000295675.1 (April 2026); Swart et al. 2013 PLoS Biol 11:e1001473,GCA_000295675.1,yes,scoeruleus_nuclear,scoeruleus,Stentor coeruleus,nuclear,N,1,tRNAscan-SE 2.0.12,GCA_001970955.1,tRNAscan-SE 2.0.12 on GCA_001970955.1 (April 2026),GCA_001970955.1,yes,Gln,UAA: Stop→Gln; UAG: Stop→Gln,UAA: Stop→Gln; UAG: Stop→Gln,False,n,no-effect,8,90,11,267,2.270509977827051,0.07513717580400886
eoctocarinatus_nuclear,eoctocarinatus,Euplotes octocarinatus,nuclear,10,literature,,Meyer et al. 1991 PNAS 88:3758-3761; Grimm et al. 1998 NAR 26:4557; Wang et al. 2016 Sci Rep 6:21139 (genome/transcriptome),Meyer et al. 1991 PNAS 88:3758-3761; Grimm et al. 1998 NAR 26:4557; Wang et al. 2016 Sci Rep 6:21139 (genome/transcriptome),no,scoeruleus_nuclear,scoeruleus,Stentor coeruleus,nuclear,N,1,tRNAscan-SE 2.0.12,GCA_001970955.1,tRNAscan-SE 2.0.12 on GCA_001970955.1 (April 2026),GCA_001970955.1,yes,Cys,UGA: Stop→Cys,UGA: Stop→Cys,False,n,no-effect,5,114,7,267,1.7038007863695936,0.27175486262264137
bjaponicum_nuclear,bjaponicum,Blepharisma japonicum,nuclear,15,literature,,Liang & Heckmann 1993; Swart et al. 2016 Mol Biol Evol 33:2885 (code survey),Liang & Heckmann 1993; Swart et al. 2016 Mol Biol Evol 33:2885 (code survey),no,scoeruleus_nuclear,scoeruleus,Stentor coeruleus,nuclear,N,1,tRNAscan-SE 2.0.12,GCA_001970955.1,tRNAscan-SE 2.0.12 on GCA_001970955.1 (April 2026),GCA_001970955.1,yes,Trp,(no direct reassignment for this AA),(no direct reassignment for t…,False,n,no-effect,5,115,6,267,1.9772727272727273,0.20969042225429652
eaediculatus_nuclear,eaediculatus,Euplotes aediculatus,nuclear,10,tRNAscan-SE 2.0.12,GCA_030463445.1,tRNAscan-SE 2.0.12 on GCA_030463445.1 (April 2026); Jin et al. 2023,GCA_030463445.1,yes,scoeruleus_nuclear,scoeruleus,Stentor coeruleus,nuclear,N,1,tRNAscan-SE 2.0.12,GCA_001970955.1,tRNAscan-SE 2.0.12 on GCA_001970955.1 (April 2026),GCA_001970955.1,yes,Cys,UGA: Stop→Cys,UGA: Stop→Cys,False,n,no-effect,4,77,7,267,2.035225048923679,0.214754701213773
eaediculatus_nuclear,eaediculatus,Euplotes aediculatus,nuclear,10,tRNAscan-SE 2.0.12,GCA_030463445.1,tRNAscan-SE 2.0.12 on GCA_030463445.1 (April 2026); Jin et al. 2023,GCA_030463445.1,yes,fsalina_nuclear,fsalina,Fabrea salina,nuclear,N,1,tRNAscan-SE 2.0.12,GCA_022984795.1,tRNAscan-SE 2.0.12 on GCA_022984795.1 (April 2026); Zhang et al. 2022 MBE (PMID 35325184),GCA_022984795.1,yes,Cys,UGA: Stop→Cys,UGA: Stop→Cys,False,n,no-effect,4,77,1,86,4.657534246575342,0.15104963621947606
eamieti_nuclear,eamieti,Euplotes amieti,nuclear,10,tRNAscan-SE 2.0.12,GCA_048569255.1,tRNAscan-SE 2.0.12 on GCA_048569255.1 (April 2026),GCA_048569255.1,yes,scoeruleus_nuclear,scoeruleus,Stentor coeruleus,nuclear,N,1,tRNAscan-SE 2.0.12,GCA_001970955.1,tRNAscan-SE 2.0.12 on GCA_001970955.1 (April 2026),GCA_001970955.1,yes,Cys,UGA: Stop→Cys,UGA: Stop→Cys,False,n,no-effect,8,116,7,267,2.751322751322751,0.04923189241625568
efocardii_nuclear,efocardii,Euplotes focardii,nuclear,10,tRNAscan-SE 2.0.12,GCA_001880345.2,tRNAscan-SE 2.0.12 on GCA_001880345.2 (April 2026); Mozzicafreddo et al. 2021,GCA_001880345.2,yes,fsalina_nuclear,fsalina,Fabrea salina,nuclear,N,1,tRNAscan-SE 2.0.12,GCA_022984795.1,tRNAscan-SE 2.0.12 on GCA_022984795.1 (April 2026); Zhang et al. 2022 MBE (PMID 35325184),GCA_022984795.1,yes,Cys,UGA: Stop→Cys,UGA: Stop→Cys,False,n,no-effect,3,59,1,86,4.553571428571429,0.18401786007419813
eparawoodruffi_nuclear,eparawoodruffi,Euplotes parawoodruffi,nuclear,10,tRNAscan-SE 2.0.12,GCA_021440025.1,tRNAscan-SE 2.0.12 on GCA_021440025.1 (April 2026),GCA_021440025.1,yes,scoeruleus_nuclear,scoeruleus,Stentor coeruleus,nuclear,N,1,tRNAscan-SE 2.0.12,GCA_001970955.1,tRNAscan-SE 2.0.12 on GCA_001970955.1 (April 2026),GCA_001970955.1,yes,Cys,UGA: Stop→Cys,UGA: Stop→Cys,False,n,no-effect,9,145,7,267,2.457983193277311,0.06540870533267415
eweissei_nuclear,eweissei,Euplotes weissei,nuclear,10,tRNAscan-SE 2.0.12,GCA_021440005.1,tRNAscan-SE 2.0.12 on GCA_021440005.1 (April 2026),GCA_021440005.1,yes,fsalina_nuclear,fsalina,Fabrea salina,nuclear,N,1,tRNAscan-SE 2.0.12,GCA_022984795.1,tRNAscan-SE 2.0.12 on GCA_022984795.1 (April 2026); Zhang et al. 2022 MBE (PMID 35325184),GCA_022984795.1,yes,Cys,UGA: Stop→Cys,UGA: Stop→Cys,False,n,no-effect,20,463,1,86,3.8374717832957113,0.13183920360874837
ewoodruffi_nuclear,ewoodruffi,Euplotes woodruffi,nuclear,10,tRNAscan-SE 2.0.12,GCA_027382605.1,tRNAscan-SE 2.0.12 on GCA_027382605.1 (April 2026),GCA_027382605.1,yes,scoeruleus_nuclear,scoeruleus,Stentor coeruleus,nuclear,N,1,tRNAscan-SE 2.0.12,GCA_001970955.1,tRNAscan-SE 2.0.12 on GCA_001970955.1 (April 2026),GCA_001970955.1,yes,Cys,UGA: Stop→Cys,UGA: Stop→Cys,False,n,no-effect,4,79,7,267,1.980952380952381,0.2262660941963295
